time_iso8601,stars_cumulative
2019-11-26 00:00:00+00:00,1346
2019-11-27 00:00:00+00:00,1349
2019-11-28 00:00:00+00:00,1350
2019-11-29 00:00:00+00:00,1354
2019-12-02 00:00:00+00:00,1358
2019-12-03 00:00:00+00:00,1359
2019-12-04 00:00:00+00:00,1363
2019-12-05 00:00:00+00:00,1364
2019-12-06 00:00:00+00:00,1365
2019-12-08 00:00:00+00:00,1366
2019-12-09 00:00:00+00:00,1367
2019-12-10 00:00:00+00:00,1371
2019-12-11 00:00:00+00:00,1373
2019-12-12 00:00:00+00:00,1375
2019-12-13 00:00:00+00:00,1376
2019-12-15 00:00:00+00:00,1377
2019-12-16 00:00:00+00:00,1381
2019-12-17 00:00:00+00:00,1383
2019-12-18 00:00:00+00:00,1384
2019-12-19 00:00:00+00:00,1388
2019-12-20 00:00:00+00:00,1389
2019-12-21 00:00:00+00:00,1390
2019-12-23 00:00:00+00:00,1391
2019-12-24 00:00:00+00:00,1396
2019-12-25 00:00:00+00:00,1398
2019-12-27 00:00:00+00:00,1400
2019-12-29 00:00:00+00:00,1402
2019-12-30 00:00:00+00:00,1404
2019-12-31 00:00:00+00:00,1405
2020-01-02 00:00:00+00:00,1407
2020-01-03 00:00:00+00:00,1409
2020-01-05 00:00:00+00:00,1410
2020-01-07 00:00:00+00:00,1413
2020-01-08 00:00:00+00:00,1420
2020-01-09 00:00:00+00:00,1430
2020-01-10 00:00:00+00:00,1438
2020-01-11 00:00:00+00:00,1441
2020-01-12 00:00:00+00:00,1442
2020-01-13 00:00:00+00:00,1446
2020-01-14 00:00:00+00:00,1450
2020-01-15 00:00:00+00:00,1451
2020-01-16 00:00:00+00:00,1454
2020-01-17 00:00:00+00:00,1458
2020-01-19 00:00:00+00:00,1460
2020-01-20 00:00:00+00:00,1463
2020-01-28 00:00:00+00:00,1466
2020-01-29 00:00:00+00:00,1467
2020-01-31 00:00:00+00:00,1469
2020-02-01 00:00:00+00:00,1471
2020-02-02 00:00:00+00:00,1472
2020-02-06 00:00:00+00:00,1473
2020-02-07 00:00:00+00:00,1474
2020-02-08 00:00:00+00:00,1475
2020-02-10 00:00:00+00:00,1477
2020-02-13 00:00:00+00:00,1480
2020-02-14 00:00:00+00:00,1481
2020-02-16 00:00:00+00:00,1482
2020-02-17 00:00:00+00:00,1483
2020-02-18 00:00:00+00:00,1485
2020-02-19 00:00:00+00:00,1487
2020-02-22 00:00:00+00:00,1488
2020-02-23 00:00:00+00:00,1489
2020-02-25 00:00:00+00:00,1492
2020-02-26 00:00:00+00:00,1493
2020-02-27 00:00:00+00:00,1505
2020-02-28 00:00:00+00:00,1511
2020-02-29 00:00:00+00:00,1513
2020-03-02 00:00:00+00:00,1514
2020-03-03 00:00:00+00:00,1516
2020-03-04 00:00:00+00:00,1524
2020-03-05 00:00:00+00:00,1541
2020-03-06 00:00:00+00:00,1545
2020-03-07 00:00:00+00:00,1547
2020-03-10 00:00:00+00:00,1549
2020-03-11 00:00:00+00:00,1550
2020-03-12 00:00:00+00:00,1551
2020-03-13 00:00:00+00:00,1553
2020-03-14 00:00:00+00:00,1554
2020-03-15 00:00:00+00:00,1556
2020-03-16 00:00:00+00:00,1557
2020-03-17 00:00:00+00:00,1561
2020-03-18 00:00:00+00:00,1567
2020-03-19 00:00:00+00:00,1571
2020-03-20 00:00:00+00:00,1574
2020-03-22 00:00:00+00:00,1575
2020-03-23 00:00:00+00:00,1582
2020-03-24 00:00:00+00:00,1591
2020-03-25 00:00:00+00:00,1598
2020-03-26 00:00:00+00:00,1600
2020-03-27 00:00:00+00:00,1603
2020-03-28 00:00:00+00:00,1604
2020-03-29 00:00:00+00:00,1606
2020-03-30 00:00:00+00:00,1607
2020-03-31 00:00:00+00:00,1611
2020-04-02 00:00:00+00:00,1613
2020-04-03 00:00:00+00:00,1614
2020-04-04 00:00:00+00:00,1616
2020-04-05 00:00:00+00:00,1619
2020-04-07 00:00:00+00:00,1623
2020-04-08 00:00:00+00:00,1628
2020-04-09 00:00:00+00:00,1632
2020-04-10 00:00:00+00:00,1635
2020-04-11 00:00:00+00:00,1637
2020-04-12 00:00:00+00:00,1641
2020-04-13 00:00:00+00:00,1645
2020-04-14 00:00:00+00:00,1648
2020-04-15 00:00:00+00:00,1654
2020-04-16 00:00:00+00:00,1655
2020-04-17 00:00:00+00:00,1657
2020-04-18 00:00:00+00:00,1658
2020-04-21 00:00:00+00:00,1659
2020-04-22 00:00:00+00:00,1661
2020-04-23 00:00:00+00:00,1662
2020-04-24 00:00:00+00:00,1664
2020-04-26 00:00:00+00:00,1670
2020-04-27 00:00:00+00:00,1673
2020-04-28 00:00:00+00:00,1676
2020-04-29 00:00:00+00:00,1680
2020-04-30 00:00:00+00:00,1685
2020-05-01 00:00:00+00:00,1687
2020-05-02 00:00:00+00:00,1688
2020-05-04 00:00:00+00:00,1691
2020-05-05 00:00:00+00:00,1692
2020-05-06 00:00:00+00:00,1694
2020-05-07 00:00:00+00:00,1698
2020-05-08 00:00:00+00:00,1701
2020-05-09 00:00:00+00:00,1702
2020-05-10 00:00:00+00:00,1703
2020-05-11 00:00:00+00:00,1708
2020-05-12 00:00:00+00:00,1715
2020-05-13 00:00:00+00:00,1722
2020-05-14 00:00:00+00:00,1724
2020-05-15 00:00:00+00:00,1727
2020-05-16 00:00:00+00:00,1728
2020-05-18 00:00:00+00:00,1732
2020-05-19 00:00:00+00:00,1735
2020-05-20 00:00:00+00:00,1738
2020-05-21 00:00:00+00:00,1765
2020-05-22 00:00:00+00:00,1776
2020-05-23 00:00:00+00:00,1785
2020-05-24 00:00:00+00:00,1786
2020-05-25 00:00:00+00:00,1792
2020-05-26 00:00:00+00:00,1815
2020-05-27 00:00:00+00:00,1819
2020-05-28 00:00:00+00:00,1827
2020-05-29 00:00:00+00:00,1835
2020-05-30 00:00:00+00:00,1837
2020-05-31 00:00:00+00:00,1838
2020-06-01 00:00:00+00:00,1843
2020-06-02 00:00:00+00:00,1849
2020-06-04 00:00:00+00:00,1852
2020-06-05 00:00:00+00:00,1854
2020-06-06 00:00:00+00:00,1856
2020-06-07 00:00:00+00:00,1857
2020-06-08 00:00:00+00:00,1859
2020-06-09 00:00:00+00:00,1861
2020-06-10 00:00:00+00:00,1864
2020-06-11 00:00:00+00:00,1866
2020-06-12 00:00:00+00:00,1867
2020-06-13 00:00:00+00:00,1869
2020-06-15 00:00:00+00:00,1870
2020-06-17 00:00:00+00:00,1871
2020-06-18 00:00:00+00:00,1872
2020-06-19 00:00:00+00:00,1873
2020-06-21 00:00:00+00:00,1877
2020-06-22 00:00:00+00:00,1882
2020-06-24 00:00:00+00:00,1883
2020-06-28 00:00:00+00:00,1885
2020-06-30 00:00:00+00:00,1896
2020-07-01 00:00:00+00:00,1901
2020-07-02 00:00:00+00:00,1903
2020-07-03 00:00:00+00:00,1904
2020-07-04 00:00:00+00:00,1905
2020-07-06 00:00:00+00:00,1908
2020-07-07 00:00:00+00:00,1910
2020-07-08 00:00:00+00:00,1913
2020-07-09 00:00:00+00:00,1914
2020-07-10 00:00:00+00:00,1917
2020-07-11 00:00:00+00:00,1928
2020-07-12 00:00:00+00:00,1931
2020-07-13 00:00:00+00:00,1934
2020-07-14 00:00:00+00:00,1938
2020-07-15 00:00:00+00:00,1941
2020-07-16 00:00:00+00:00,1945
2020-07-17 00:00:00+00:00,1949
2020-07-19 00:00:00+00:00,1951
2020-07-21 00:00:00+00:00,1955
2020-07-22 00:00:00+00:00,1958
2020-07-23 00:00:00+00:00,1961
2020-07-24 00:00:00+00:00,1964
2020-07-25 00:00:00+00:00,1965
2020-07-27 00:00:00+00:00,1966
2020-07-28 00:00:00+00:00,1969
2020-07-29 00:00:00+00:00,1972
2020-07-30 00:00:00+00:00,1976
2020-07-31 00:00:00+00:00,1980
2020-08-01 00:00:00+00:00,1981
2020-08-03 00:00:00+00:00,1994
2020-08-04 00:00:00+00:00,2015
2020-08-05 00:00:00+00:00,2024
2020-08-06 00:00:00+00:00,2032
2020-08-07 00:00:00+00:00,2037
2020-08-08 00:00:00+00:00,2038
2020-08-10 00:00:00+00:00,2042
2020-08-11 00:00:00+00:00,2045
2020-08-12 00:00:00+00:00,2049
2020-08-13 00:00:00+00:00,2052
